,ï»¿id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4705,50025652.0,20200000000000.0,7873769,89,5,6,37.80283,-122.41631,2,2.0,2.0,4.0,980.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,240,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,5,5,0,0,1.3186045268223134
4713,50066936.0,20200000000000.0,24776510,100,4,6,37.77049,-122.42169,4,2.0,2.0,2.0,150.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,9,4,0,4.89,4.89,4.78,5.0,5.0,5.0,4.89,4,4,0,0,0.45
4717,50115550.0,20200000000000.0,69699441,100,1,1,37.78514,-122.39431,4,2.0,1.0,1.0,170.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,253,5,1,0,5.0,5.0,5.0,5.0,5.0,4.8,4.6,1,1,0,0,0.26
4726,50191488.0,20200000000000.0,405088582,98,1,1,37.77536,-122.48057,6,2.0,3.0,3.0,148.0,30,60,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,24,54,54,62,21,0,4.66,4.76,4.76,4.85,4.87,4.66,4.52,1,1,0,0,2.98
4734,50310528.0,20200000000000.0,267895362,0,73,123,37.76945,-122.42379,2,5.0,1.0,1.0,54.0,365,1125,365.0,365.0,1125.0,1125.0,365.0,1125.0,29,59,89,364,1,0,0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,55,1,54,0,0.05
4739,50331470.0,20200000000000.0,39768022,0,1,2,37.78948,-122.42177,6,2.0,2.0,4.0,408.0,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,30,60,90,179,3,0,0,5.0,5.0,4.33,4.67,4.67,4.67,4.67,1,1,0,0,0.15
4746,50365548.0,20200000000000.0,43050384,100,1,2,37.75769,-122.47922,7,2.0,3.0,4.0,261.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,13,30,42,94,148,89,5,4.91,4.93,4.94,4.96,4.97,4.87,4.8,1,1,0,0,7.08
4749,50379946.0,20200000000000.0,92974335,25,1,1,37.78877,-122.39056,2,2.0,2.0,2.0,199.0,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,29,59,334,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.16
4750,50380218.0,20200000000000.0,406974141,77,1,1,37.76393,-122.45396,8,3.0,4.0,5.0,2000.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,15,45,75,349,12,6,0,4.92,4.92,4.75,5.0,5.0,5.0,4.92,1,1,0,0,0.65
4764,50241143.0,20200000000000.0,405598639,100,3,3,37.7262,-122.44664,6,2.0,2.0,4.0,163.0,2,29,2.0,2.0,1125.0,1125.0,2.0,1125.0,7,14,29,29,104,69,3,4.93,4.86,4.95,4.97,4.97,4.85,4.89,3,3,0,0,5.36
4769,49017013.0,20200000000000.0,2919348,94,2,2,37.75643,-122.42307,6,2.0,3.0,3.0,850.0,7,21,7.0,7.0,21.0,21.0,7.0,21.0,0,19,48,48,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,2,2,0,0,1.3186045268223134
4781,50896231.0,20200000000000.0,20900027,96,5,10,37.76651,-122.42593,4,2.0,3.0,3.0,185.0,30,365,30.0,30.0,365.0,365.0,30.0,365.0,29,59,89,270,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,0,0,0.21
4783,50904287.0,20200000000000.0,353525007,100,1,1,37.74541,-122.4085,11,2.0,3.0,6.0,401.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,13,37,60,140,81,48,4,4.96,4.94,4.96,4.98,4.96,4.91,4.85,1,1,0,0,4.11
4793,50471530.0,20200000000000.0,49384981,99,1,1,37.74107,-122.4318,7,2.0,4.0,6.0,375.0,2,1125,2.0,5.0,7.0,1125.0,2.0,1119.9,14,25,44,210,43,43,1,4.7,4.86,4.74,4.65,4.79,4.88,4.79,1,1,0,0,3.82
4798,50498486.0,20200000000000.0,189845056,0,5,5,37.74991,-122.42286,6,2.0,3.0,3.0,279.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,26,27,57,236,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,4,0,0,0.11
4799,50509087.0,20200000000000.0,2093773,0,1,1,37.79711,-122.39907,4,2.0,2.0,2.0,602.0,30,180,30.0,30.0,180.0,180.0,30.0,180.0,28,58,88,362,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,1,1,0,0,1.3186045268223134
4800,50527012.0,20200000000000.0,24776510,100,4,6,37.77072,-122.42143,4,2.0,2.0,2.0,155.0,30,60,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,30,59,183,4,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,4,0,0,0.21
4802,50547275.0,20200000000000.0,267895362,0,73,123,37.78943,-122.41943,2,5.0,1.0,1.8129401408450705,60.0,365,1125,365.0,365.0,1125.0,1125.0,365.0,1125.0,29,59,89,364,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,55,1,54,0,1.3186045268223134
4804,50547559.0,20200000000000.0,267895362,0,73,123,37.78931,-122.41987,2,5.0,1.0,1.8129401408450705,50.0,365,1125,365.0,365.0,1125.0,1125.0,365.0,1125.0,29,59,89,364,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,55,1,54,0,1.3186045268223134
4805,50547744.0,20200000000000.0,267895362,0,73,123,37.79083,-122.41759,1,5.0,1.0,1.8129401408450705,47.0,365,1125,365.0,365.0,1125.0,1125.0,365.0,1125.0,29,59,89,364,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,55,1,54,0,1.3186045268223134
4814,50647094.0,20200000000000.0,96565648,100,2,5,37.71813,-122.44329,8,3.0,3.0,6.0,350.0,30,180,30.0,30.0,180.0,180.0,30.0,180.0,30,60,90,364,26,21,0,4.81,4.85,4.54,4.88,4.88,4.46,4.5,1,1,0,0,1.63
4816,50663591.0,20200000000000.0,2484584,50,1,4,37.75708,-122.43756,5,2.0,2.0,3.0,391.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,179,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.1
4819,50923567.0,20200000000000.0,3980939,100,1,3,37.77238,-122.5,6,2.0,2.0,3.0,410.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,8,14,22,22,48,25,2,4.92,4.96,4.88,4.98,4.96,4.96,4.81,1,1,0,0,2.44
4832,51050512.0,20200000000000.0,10556833,100,1,2,37.76176,-122.45366,4,2.0,1.0,2.0,145.0,1,14,1.0,1.0,14.0,14.0,1.0,14.0,8,38,65,65,109,49,4,4.89,4.91,4.9,4.99,4.96,4.94,4.72,1,1,0,0,5.48
