,ï»¿id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2,8142.0,20200000000000.0,21994,73,13,14,37.76555,-122.45213,1,4.0,1.0,1.0,56.0,32,90,32.0,32.0,90.0,90.0,32.0,90.0,30,60,90,365,9,1,0,4.67,4.44,4.44,4.78,4.78,4.67,4.67,13,0,13,0,0.09
8,491867.0,20200000000000.0,969518,61,2,3,37.77196,-122.43477,5,2.0,3.0,3.0,425.0,2,31,2.0,2.0,31.0,31.0,2.0,31.0,0,2,7,7,56,14,1,4.85,4.86,4.86,4.98,4.91,4.91,4.75,1,1,0,0,0.44
9,144242.0,20200000000000.0,699215,84,2,2,37.78546,-122.46148,6,2.0,3.0,3.0,545.0,3,60,3.0,3.0,60.0,60.0,3.0,60.0,6,6,6,64,22,0,0,4.86,4.95,4.89,5.0,5.0,4.89,4.95,1,1,0,0,0.15
13,12041.0,20200000000000.0,21994,73,13,14,37.76901,-122.44701,2,3.0,1.0,2.0,65.0,32,120,32.0,32.0,120.0,120.0,32.0,120.0,30,60,90,365,7,1,0,4.0,4.14,4.0,4.43,4.86,4.57,3.71,13,0,13,0,0.05
17,12042.0,20200000000000.0,21994,73,13,14,37.76932,-122.44723,2,3.0,1.0,2.0,65.0,32,120,32.0,32.0,120.0,120.0,32.0,120.0,30,60,90,365,5,0,0,3.2,3.0,3.0,4.8,4.4,4.6,3.8,13,0,13,0,0.04
19,503362.0,20200000000000.0,2475480,80,5,5,37.77265,-122.43857,6,2.0,2.0,2.0,350.0,30,1124,30.0,30.0,1124.0,1124.0,30.0,1124.0,0,0,0,64,116,1,0,4.93,4.95,4.94,4.9,4.95,4.79,4.72,5,5,0,0,0.89
21,505530.0,20200000000000.0,698337,94,2,6,37.74154,-122.4086,6,2.0,4.0,6.0,240.0,30,90,30.0,30.0,1125.0,1125.0,30.0,1125.0,18,18,23,142,13,3,0,4.69,4.77,4.38,5.0,5.0,4.54,4.77,2,2,0,0,0.11
22,511991.0,20200000000000.0,723220,0,1,17,37.79138,-122.39761,4,2.0,2.0,3.0,390.0,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,28,58,87,300,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,1,0,0,0.01
43,209514.0,20200000000000.0,1032643,100,5,6,37.77255,-122.44985,2,2.0,1.0,1.0,69.0,1,5,1.0,1.0,5.0,5.0,1.0,5.0,25,55,85,358,585,43,2,4.7,4.85,4.73,4.89,4.85,4.84,4.68,5,0,5,0,4.18
44,212783.0,20200000000000.0,1032643,100,5,6,37.77085,-122.44814,4,2.0,1.0,2.0,69.0,1,5,1.0,1.0,5.0,5.0,1.0,5.0,21,48,73,345,562,52,2,4.6,4.78,4.66,4.86,4.8,4.81,4.58,5,0,5,0,4.02
45,213532.0,20200000000000.0,1032643,100,5,6,37.77175,-122.45012,2,2.0,1.0,1.0,69.0,1,15,1.0,1.0,15.0,15.0,1.0,15.0,19,38,68,340,644,69,2,4.53,4.69,4.59,4.86,4.79,4.79,4.51,5,0,5,0,4.61
47,531151.0,20200000000000.0,2608908,100,1,2,37.73466,-122.41694,8,2.0,4.0,6.0,423.0,3,21,3.0,4.0,21.0,21.0,3.0,21.0,2,7,7,29,24,4,0,4.92,4.88,4.83,5.0,4.92,4.58,4.75,1,1,0,0,0.23
48,533627.0,20200000000000.0,2544752,100,6,12,37.7608,-122.40379,6,3.0,3.0,3.0,696.0,30,90,30.0,30.0,90.0,90.0,30.0,90.0,0,4,34,133,35,0,0,4.83,4.88,4.88,4.88,4.96,4.88,4.58,1,1,0,0,0.27
52,561148.0,20200000000000.0,2758480,90,1,1,37.77689,-122.45594,6,2.0,3.0,3.0,468.0,3,1125,3.0,3.0,3.0,1125.0,3.0,1114.8,3,3,3,3,37,7,0,4.95,4.97,4.92,4.92,4.97,4.89,4.75,1,1,0,0,0.29
56,571042.0,20200000000000.0,1550529,100,3,4,37.76829,-122.43968,6,2.0,2.0,3.0,527.0,30,100,30.0,30.0,100.0,100.0,30.0,100.0,0,0,28,272,14,0,0,5.0,4.85,4.85,4.85,5.0,5.0,4.62,1,1,0,0,0.11
58,582335.0,20200000000000.0,2867852,22,1,1,37.80144,-122.43865,8,3.0,4.0,4.0,1149.0,4,30,4.0,4.0,30.0,30.0,4.0,30.0,0,0,0,32,11,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.64,1,1,0,0,0.09
61,219438.0,20200000000000.0,373342,0,1,5,37.79434,-122.43167,4,3.0,3.0,2.0,649.0,60,1125,60.0,60.0,1125.0,1125.0,60.0,1125.0,30,60,90,365,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,1,1,0,0,1.3186045268223134
63,220418.0,20200000000000.0,1032643,100,5,6,37.77031,-122.44948,2,2.0,1.0,1.0,69.0,1,5,1.0,1.0,5.0,5.0,1.0,5.0,20,50,77,348,534,46,0,4.5,4.68,4.53,4.87,4.79,4.77,4.48,5,0,5,0,3.82
66,591431.0,20200000000000.0,727246,67,1,2,37.75,-122.4235,6,2.0,3.0,3.0,450.0,1,3,1.0,1.0,3.0,3.0,1.0,3.0,0,0,0,0,18,2,0,4.53,4.47,4.41,4.94,4.65,4.94,4.63,1,1,0,0,0.17
75,251792.0,20200000000000.0,1320750,100,1,1,37.75474,-122.48924,8,3.0,3.0,6.0,511.0,2,365,2.0,3.0,365.0,365.0,2.3,365.0,15,26,49,183,12,3,0,4.83,4.83,4.92,5.0,4.92,4.92,4.75,1,1,0,0,0.09
77,602535.0,20200000000000.0,2981490,75,1,1,37.74289,-122.42855,6,2.0,3.0,4.0,511.0,2,21,2.0,4.0,21.0,28.0,3.0,21.1,12,21,45,119,8,0,0,4.88,4.88,4.75,5.0,5.0,4.75,4.88,1,1,0,0,0.06
79,607500.0,20200000000000.0,1805856,55,1,2,37.76864,-122.45267,6,2.0,3.0,3.0,1169.0,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,30,60,90,365,68,6,0,4.88,4.88,4.94,4.93,4.94,4.85,4.69,1,1,0,0,0.54
86,29373.0,20200000000000.0,126263,100,3,5,37.73871,-122.41167,4,2.0,2.0,2.0,160.0,7,80,7.0,7.0,80.0,80.0,7.0,80.0,0,0,0,64,18,1,0,4.88,4.83,4.94,5.0,5.0,4.61,4.83,2,1,1,0,0.13
99,273530.0,20200000000000.0,99128,98,2,3,37.75533,-122.39927,4,2.0,2.0,2.0,316.0,4,7,4.0,4.0,7.0,7.0,4.0,7.0,0,0,0,0,35,1,0,4.91,5.0,4.8,4.91,4.94,4.89,4.83,2,1,1,0,0.31
102,279184.0,20200000000000.0,1456262,95,2,3,37.75059,-122.41415,7,2.0,3.0,4.0,550.0,4,365,4.0,4.0,365.0,365.0,4.0,365.0,0,0,0,0,13,0,0,4.85,4.92,4.69,5.0,4.85,4.62,4.77,2,2,0,0,0.1
113,314248.0,20200000000000.0,1614566,71,1,1,37.78946,-122.43538,6,2.0,3.0,4.0,525.0,7,365,7.0,7.0,365.0,365.0,7.0,365.0,8,17,41,301,58,8,0,4.86,4.86,4.61,4.93,4.96,4.89,4.67,1,1,0,0,0.51
125,664315.0,20200000000000.0,3355966,100,2,2,37.75502,-122.41889,6,2.0,3.0,2.0,136.0,7,30,7.0,7.0,30.0,30.0,7.0,30.0,0,0,0,0,6,0,0,4.83,4.5,4.33,5.0,5.0,4.83,5.0,2,1,1,0,0.05
126,666620.0,20200000000000.0,1841167,0,1,3,37.75162,-122.4307,4,2.0,2.0,2.0,534.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,27,27,56,331,55,0,0,4.8,4.81,4.8,4.93,4.95,4.96,4.64,1,1,0,0,0.55
137,691023.0,20200000000000.0,3531780,94,2,4,37.75757,-122.42693,6,2.0,3.0,3.0,500.0,4,21,4.0,4.0,21.0,21.0,4.0,21.0,0,0,0,19,48,11,0,4.96,4.96,4.94,4.92,4.96,4.9,4.83,1,1,0,0,0.38
138,699723.0,20200000000000.0,469757,100,1,1,37.76497,-122.39798,4,2.0,2.0,2.0,414.0,4,120,4.0,4.0,120.0,120.0,4.0,120.0,12,19,32,232,77,6,1,4.88,4.97,4.92,4.93,4.93,4.84,4.8,1,1,0,0,0.65
144,400433.0,20200000000000.0,1583699,94,1,1,37.76015,-122.42098,4,2.0,2.0,2.0,385.0,2,28,2.0,2.0,28.0,28.0,2.0,28.0,0,0,0,60,51,11,2,4.98,4.98,4.9,4.98,4.98,4.91,4.83,1,1,0,0,0.43
158,413663.0,20200000000000.0,1371146,0,1,1,37.7488,-122.44064,5,2.0,2.0,2.0,300.0,30,10000,30.0,30.0,10000.0,10000.0,30.0,10000.0,30,60,90,365,72,0,0,4.97,4.96,4.97,4.99,5.0,4.94,4.83,1,1,0,0,0.56
170,437385.0,20200000000000.0,2172763,100,1,2,37.77901881,-122.5037572,2,2.0,1.0,1.0,113.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,20,295,304,13,0,4.92,4.94,4.97,4.96,4.94,4.81,4.79,1,0,1,0,2.31
177,767506.0,20200000000000.0,3807182,61,1,1,37.74412,-122.45273,8,2.0,3.0,5.0,410.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,5,6,16,264,136,12,1,4.83,4.9,4.76,4.96,4.95,4.79,4.71,1,1,0,0,1.1
180,442397.0,20200000000000.0,2198311,81,1,1,37.7587,-122.5088,5,2.0,2.0,4.0,277.0,4,16,4.0,4.0,16.0,16.0,4.0,16.0,2,16,43,56,143,12,1,4.97,4.98,4.96,4.99,4.99,4.81,4.88,1,1,0,0,1.09
181,444675.0,20200000000000.0,2206832,77,9,9,37.74088,-122.43251,5,2.0,3.0,3.0,206.0,30,247,30.0,30.0,247.0,247.0,30.0,247.0,0,1,31,305,11,3,0,4.82,4.64,4.55,4.82,4.82,4.64,4.73,2,2,0,0,0.08
183,776239.0,20200000000000.0,4094089,84,1,2,37.75948,-122.44357,6,2.0,3.0,5.0,338.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,0,5,35,154,46,11,0,4.98,4.98,4.91,5.0,4.98,4.89,4.83,1,1,0,0,0.57
185,779575.0,20200000000000.0,4110614,0,1,4,37.77685,-122.41701,1,3.0,1.0,2.0,120.0,30,120,30.0,30.0,120.0,120.0,30.0,120.0,30,60,90,365,7,0,0,4.0,3.17,3.4,4.6,4.17,3.6,3.17,1,0,1,0,0.06
186,781945.0,20200000000000.0,4124339,0,1,2,37.78471,-122.39852,4,2.0,2.0,2.0,350.0,183,1195,183.0,183.0,1195.0,1195.0,183.0,1195.0,0,0,0,0,3,0,0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,1,1,0,0,0.03
191,468490.0,20200000000000.0,285168,83,1,5,37.80109,-122.41385,12,2.0,4.0,4.0,399.0,2,180,2.0,2.0,180.0,180.0,2.0,180.0,7,21,36,271,65,19,0,4.58,4.42,4.86,4.84,4.7,4.86,4.2,1,1,0,0,0.57
194,60365.0,20200000000000.0,279544,97,6,10,37.77034,-122.43594,6,2.0,3.0,4.0,546.0,4,30,4.0,4.0,1125.0,1125.0,4.0,1125.0,3,10,40,197,248,16,1,4.87,4.86,4.92,4.92,4.91,4.86,4.78,2,2,0,0,1.67
196,487019.0,20200000000000.0,2410550,71,1,2,37.75622,-122.39821,4,2.0,3.0,4.0,249.0,5,29,3.0,6.0,29.0,29.0,4.7,29.0,12,36,66,274,30,4,0,4.48,4.48,4.21,4.9,4.79,4.28,4.45,1,1,0,0,0.23
200,808919.0,20200000000000.0,3022475,98,3,3,37.77819,-122.43721,2,2.0,1.0,1.0,140.0,3,360,3.0,3.0,1125.0,1125.0,3.0,1125.0,25,39,64,334,142,22,1,4.94,4.96,4.94,4.98,4.97,4.96,4.83,3,0,3,0,1.54
209,1145582.0,20200000000000.0,6281643,0,1,1,37.78735,-122.43225,4,2.0,2.0,2.0,210.0,50,90,50.0,50.0,90.0,90.0,50.0,90.0,30,60,90,365,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,1,1,0,0,1.3186045268223134
220,865873.0,20200000000000.0,253059,0,11,20,37.76076,-122.4241,5,2.0,3.0,3.0,290.0,30,140,30.0,56.0,140.0,140.0,32.4,140.0,3,33,63,122,36,0,0,4.78,4.86,4.47,4.83,4.81,4.91,4.69,3,1,2,0,0.34
227,891728.0,20200000000000.0,4737757,0,1,1,37.75879,-122.42922,8,2.0,4.0,4.0,500.0,30,60,30.0,30.0,60.0,60.0,30.0,60.0,1,2,19,293,1,0,0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1,1,0,0,0.01
232,915058.0,20200000000000.0,3608449,100,4,11,37.74332,-122.40942,10,2.0,4.0,7.0,899.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,3,28,87,38,5,0,4.97,4.92,4.82,4.94,4.95,4.89,4.78,2,1,1,0,0.35
237,1151109.0,20200000000000.0,6308697,0,2,3,37.80022,-122.43953,6,2.0,2.0,2.0,799.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,12,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.91,1,1,0,0,0.14
243,932481.0,20200000000000.0,863433,67,2,3,37.79303,-122.43416,6,2.0,3.0,3.0,1500.0,7,365,7.0,7.0,365.0,365.0,7.0,365.0,28,58,88,362,16,2,0,5.0,5.0,5.0,4.93,5.0,5.0,4.87,2,2,0,0,0.14
250,1198464.0,20200000000000.0,5565510,79,5,14,37.73386,-122.4638,2,3.0,1.0,1.0,46.0,5,30,5.0,5.0,30.0,30.0,5.0,30.0,25,55,74,344,118,1,0,4.61,4.81,4.78,4.6,4.85,4.78,4.68,5,0,5,0,1.01
256,78651.0,20200000000000.0,142882,0,2,4,37.75585,-122.42081,1,2.0,1.0,1.0,85.0,30,360,30.0,30.0,360.0,360.0,30.0,360.0,30,60,90,365,92,0,0,4.73,4.73,4.38,4.89,4.89,4.78,4.65,2,0,2,0,0.64
258,1212746.0,20200000000000.0,1237762,100,2,5,37.76018,-122.4402,8,2.0,3.0,3.0,625.0,2,29,2.0,3.0,29.0,29.0,2.4,29.0,29,59,89,363,120,12,0,4.87,4.84,4.92,4.96,4.95,4.88,4.69,2,1,1,0,1.03
261,1212822.0,20200000000000.0,1700823,100,2,5,37.80494,-122.44457,5,2.0,3.0,3.0,310.0,30,730,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,4,42,2,1,4.88,4.9,4.88,4.83,4.88,5.0,4.76,2,2,0,0,0.36
263,1245838.0,20200000000000.0,6789170,55,2,2,37.73483,-122.41838,7,2.0,3.0,4.0,411.0,3,21,3.0,3.0,21.0,21.0,3.0,21.0,0,0,0,68,44,5,0,4.82,4.73,4.75,4.82,4.86,4.82,4.66,1,1,0,0,0.38
264,1265074.0,20200000000000.0,6887723,100,1,4,37.75135,-122.47282,6,2.0,3.0,3.0,215.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,5,35,309,5,3,0,4.8,4.8,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.25
268,961900.0,20200000000000.0,5238718,84,2,2,37.77784,-122.39412,2,2.0,1.0,1.0,191.0,90,600,90.0,90.0,600.0,600.0,90.0,600.0,0,0,0,259,55,0,0,4.8,4.92,4.88,4.78,4.86,4.8,4.54,1,1,0,0,0.45
270,964952.0,20200000000000.0,5037151,0,2,3,37.77655,-122.43707,6,2.0,3.0,3.0,614.0,3,29,3.0,3.0,29.0,29.0,3.0,29.0,0,0,0,0,63,0,0,4.95,4.97,4.94,4.94,4.98,4.82,4.85,1,1,0,0,0.52
274,982298.0,20200000000000.0,5380962,75,3,4,37.7516,-122.50727,11,2.0,4.0,6.0,795.0,4,29,4.0,4.0,29.0,29.0,4.0,29.0,15,36,63,242,95,12,0,4.6,4.69,4.58,4.65,4.55,4.69,4.43,1,1,0,0,0.8
275,991765.0,20200000000000.0,5446518,60,1,1,37.75707,-122.4116,6,2.0,3.0,3.0,350.0,4,20,4.0,4.0,20.0,20.0,4.0,20.0,2,2,2,3,48,4,0,4.89,4.87,4.8,4.98,4.94,4.68,4.7,1,1,0,0,0.41
277,997382.0,20200000000000.0,1032643,100,5,6,37.77082,-122.44825,1,2.0,1.0,1.0,53.0,1,7,1.0,1.0,7.0,7.0,1.0,7.0,13,31,55,324,645,79,5,4.52,4.74,4.61,4.83,4.82,4.84,4.53,5,0,5,0,5.36
282,1016604.0,20200000000000.0,58930,98,2,5,37.77838,-122.46124,8,2.0,3.0,6.0,513.0,4,20,4.0,5.0,20.0,20.0,4.0,20.0,7,7,7,7,21,4,0,4.81,4.95,4.76,5.0,5.0,4.9,4.86,2,2,0,0,0.2
297,1291092.0,20200000000000.0,3080489,100,1,3,37.80497,-122.4369,6,2.0,3.0,4.0,1295.0,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,26,34,64,142,35,6,0,4.94,4.87,4.93,4.87,5.0,5.0,4.6,1,1,0,0,0.34
299,1292217.0,20200000000000.0,5864730,0,4,4,37.76965,-122.43532,4,2.0,2.0,2.0,950.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,4,6,0,0,4.83,3.5,4.67,4.83,4.83,4.83,4.33,1,1,0,0,0.05
300,1299242.0,20200000000000.0,169184,75,2,2,37.74296,-122.42148,3,2.0,3.0,2.0,200.0,365,730,365.0,365.0,730.0,730.0,365.0,730.0,30,60,90,365,4,0,0,4.75,5.0,4.75,4.5,5.0,4.75,4.5,2,2,0,0,0.03
302,1304068.0,20200000000000.0,7089140,0,1,4,37.77001,-122.43485,6,2.0,3.0,4.0,425.0,3,16,3.0,3.0,16.0,16.0,3.0,16.0,0,0,0,0,20,0,0,4.89,5.0,4.89,4.94,4.89,4.95,4.84,1,1,0,0,0.17
303,1309496.0,20200000000000.0,7118153,100,1,1,37.77717,-122.43993,4,2.0,3.0,3.0,350.0,3,29,3.0,3.0,29.0,29.0,3.0,29.0,0,0,0,0,50,8,1,5.0,4.96,4.94,4.94,4.98,4.98,4.86,1,1,0,0,0.45
304,1067031.0,20200000000000.0,5870776,94,1,1,37.7305,-122.45194,5,2.0,3.0,3.0,398.0,2,29,2.0,30.0,1125.0,1125.0,20.6,1125.0,0,4,34,245,23,17,0,4.95,4.96,4.96,4.96,4.91,4.78,4.83,1,1,0,0,0.2
305,1080429.0,20200000000000.0,5151027,43,2,4,37.77813,-122.441269,2,2.0,1.0,1.0,69.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,10,40,70,345,25,3,0,4.76,4.76,4.32,4.92,4.96,4.8,4.52,1,0,1,0,0.21
307,1083810.0,20200000000000.0,5959211,69,3,5,37.75417,-122.43705,6,2.0,3.0,3.0,495.0,1,90,2.0,2.0,90.0,90.0,2.0,90.0,18,48,78,197,37,10,1,4.81,4.86,4.89,4.97,5.0,4.89,4.67,3,1,2,0,0.35
314,1328186.0,20200000000000.0,7208147,100,1,1,37.75655,-122.43645,3,2.0,3.0,3.0,625.0,7,31,7.0,7.0,31.0,31.0,7.0,31.0,13,43,73,348,5,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,1,1,0,0,0.06
315,1336798.0,20200000000000.0,7249327,100,2,4,37.76989,-122.44666,8,2.0,4.0,5.0,215.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,20,23,118,101,0,0,4.6,4.75,4.44,4.78,4.85,4.64,4.58,1,1,0,0,0.86
318,1098003.0,20200000000000.0,6034365,83,3,3,37.77025,-122.43231,6,3.0,3.0,3.0,750.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,11,11,11,80,114,40,4,5.0,4.98,5.0,5.0,4.99,4.99,4.89,1,1,0,0,0.97
319,1101403.0,20200000000000.0,2335495,0,2,3,37.76761,-122.42474,5,2.0,2.0,3.0,275.0,2,1124,2.0,2.0,1124.0,1124.0,2.0,1124.0,0,0,0,0,38,0,0,4.95,4.92,4.83,4.86,4.97,4.81,4.75,2,1,1,0,0.33
321,106025.0,20200000000000.0,359730252,0,1,1,37.78693,-122.41539,2,2.0,2.0,2.0,113.0,30,90,30.0,30.0,90.0,90.0,30.0,90.0,0,0,20,44,65,2,0,4.86,4.9,4.86,4.75,4.84,4.09,4.77,1,1,0,0,0.45
323,1103797.0,20200000000000.0,6062220,0,1,1,37.78456,-122.44327,5,2.0,3.0,4.0,600.0,30,90,30.0,30.0,90.0,90.0,30.0,90.0,0,1,1,90,35,0,0,4.94,4.97,4.89,4.97,5.0,4.82,4.65,1,1,0,0,0.38
341,1498953.0,20200000000000.0,5088214,100,3,4,37.73818,-122.38691,5,3.0,3.0,4.0,368.0,5,29,5.0,5.0,1125.0,1125.0,5.0,1125.0,5,29,51,161,84,3,0,4.88,4.93,4.93,4.81,4.86,4.79,4.82,3,3,0,0,0.77
346,1391982.0,20200000000000.0,5972849,0,1,2,37.75415,-122.42263,7,2.0,3.0,4.0,364.0,5,35,5.0,5.0,1125.0,1125.0,5.0,1125.0,11,16,38,110,44,16,0,4.66,4.59,4.56,4.85,4.85,4.68,4.44,1,1,0,0,0.48
349,1409218.0,20200000000000.0,5203636,100,2,4,37.77593,-122.41064,4,2.0,2.0,2.0,215.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,4,31,270,66,0,0,4.85,4.91,4.96,4.93,4.95,4.55,4.65,2,2,0,0,0.57
350,124011.0,20200000000000.0,617985,67,3,4,37.76317,-122.47029,6,2.0,3.0,4.0,580.0,7,365,7.0,7.0,365.0,365.0,7.0,365.0,14,35,57,300,24,7,0,4.96,4.91,4.74,4.96,4.87,4.83,4.52,1,1,0,0,0.23
352,130775.0,20200000000000.0,21994,73,13,14,37.76555,-122.45213,1,4.0,1.0,1.0,56.0,32,90,32.0,32.0,90.0,90.0,32.0,90.0,30,60,90,365,11,0,0,4.36,4.0,3.73,4.82,4.73,4.91,4.09,13,0,13,0,0.08
356,137129.0,20200000000000.0,639671,38,2,2,37.78733,-122.46371,6,2.0,3.0,1.8129401408450705,695.0,7,85,7.0,7.0,85.0,85.0,7.0,85.0,24,54,83,83,2,1,0,5.0,4.5,4.5,4.5,4.5,5.0,4.5,1,1,0,0,0.05
358,138592.0,20200000000000.0,648553,100,1,5,37.75635,-122.42864,8,2.0,4.0,4.0,1250.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,0,4,34,123,34,3,0,4.91,4.97,5.0,4.94,4.91,5.0,4.52,1,1,0,0,0.24
362,2022751.0,20200000000000.0,401904,94,1,1,37.75697,-122.38851,6,2.0,2.0,2.0,600.0,4,8,4.0,4.0,1125.0,1125.0,4.0,1125.0,0,0,0,41,49,8,0,5.0,4.9,4.92,4.9,4.98,4.88,4.75,1,1,0,0,0.44
363,2023326.0,20200000000000.0,7292289,94,2,2,37.78321,-122.47017,6,2.0,4.0,4.0,550.0,7,14,7.0,7.0,14.0,14.0,7.0,14.0,28,58,87,87,7,2,0,5.0,5.0,5.0,5.0,5.0,4.83,5.0,2,2,0,0,0.07
365,2048642.0,20200000000000.0,3566675,100,1,1,37.77094,-122.39509,5,2.0,2.0,2.0,350.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,23,53,83,357,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,1,1,0,0,1.3186045268223134
366,2049672.0,20200000000000.0,7141098,100,2,2,37.76229,-122.42228,6,2.0,4.0,4.0,486.0,4,30,2.0,4.0,1125.0,1125.0,4.0,1125.0,6,6,6,30,24,1,1,4.83,4.78,4.96,4.74,4.74,4.83,4.48,1,1,0,0,0.23
379,1579304.0,20200000000000.0,8401865,100,1,1,37.73828,-122.41274,6,2.0,3.0,3.0,465.0,4,31,4.0,4.0,31.0,31.0,4.0,31.0,0,0,0,0,8,1,0,5.0,5.0,4.71,4.71,5.0,4.71,4.71,1,1,0,0,0.08
381,1589228.0,20200000000000.0,8478388,0,1,2,37.74442,-122.42525,4,2.0,3.0,2.0,350.0,30,31,30.0,30.0,31.0,31.0,30.0,31.0,0,0,0,0,10,0,0,4.9,4.9,5.0,5.0,5.0,4.9,4.8,1,1,0,0,0.09
395,1434314.0,20200000000000.0,883556,100,1,9,37.74859,-122.4318,6,2.0,3.0,4.0,649.0,30,150,30.0,30.0,150.0,150.0,30.0,150.0,0,0,29,114,118,5,1,4.98,5.0,4.91,4.98,4.99,4.93,4.85,1,1,0,0,1.01
396,1434425.0,20200000000000.0,3227887,100,2,3,37.76581955,-122.4344177,1,2.0,1.0,1.0,130.0,3,28,3.0,3.0,1125.0,1125.0,3.0,1125.0,30,60,90,358,135,1,1,4.86,4.88,4.77,4.94,4.96,4.96,4.71,2,0,2,0,1.16
405,1450711.0,20200000000000.0,7785285,87,2,2,37.75246,-122.40831,6,3.0,3.0,3.0,750.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,16,39,69,332,6,6,0,5.0,5.0,5.0,5.0,5.0,4.83,4.83,1,1,0,0,1.08
412,1460174.0,20200000000000.0,5244284,100,2,2,37.77705,-122.43651,5,2.0,3.0,3.0,520.0,3,10,3.0,3.0,10.0,10.0,3.0,10.0,5,5,18,107,64,5,0,4.95,4.94,4.98,4.98,5.0,4.86,4.73,2,2,0,0,0.56
418,1672055.0,20200000000000.0,262875,97,4,5,37.74725,-122.44512,4,2.0,2.0,3.0,199.0,90,180,90.0,90.0,180.0,180.0,90.0,180.0,0,0,0,185,0,0,0,4.750308322937088,4.813262969588552,4.767581395348837,4.879060654857756,4.854186046511628,4.7866469851494005,4.6632009303989985,3,3,0,0,1.3186045268223134
419,1673011.0,20200000000000.0,8856312,100,2,4,37.75853,-122.42777,5,2.0,3.0,3.0,700.0,3,365,3.0,3.0,1125.0,1125.0,3.0,1125.0,12,35,65,132,226,29,0,4.95,4.92,4.86,4.95,4.95,4.95,4.75,1,1,0,0,1.98
430,2130640.0,20200000000000.0,10870100,74,1,1,37.7707,-122.43017,6,2.0,3.0,4.0,350.0,3,120,3.0,3.0,120.0,120.0,3.0,120.0,1,1,1,1,33,9,0,4.91,4.94,4.88,4.97,4.91,4.94,4.79,1,1,0,0,0.3
431,1725833.0,20200000000000.0,9095863,29,1,1,37.78801727,-122.3897247,4,2.0,2.0,2.0,180.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,12,42,317,32,0,0,4.61,4.71,4.77,4.71,4.81,4.84,4.55,1,1,0,0,0.28
434,2134475.0,20200000000000.0,10891326,99,2,3,37.801,-122.44779,2,2.0,1.0,1.0,150.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,20,44,68,329,470,49,3,4.9,4.89,4.91,4.97,4.97,4.91,4.83,1,0,1,0,4.24
437,2135871.0,20200000000000.0,4191595,89,5,6,37.73123,-122.42182,1,2.0,1.0,1.0,34.0,30,90,30.0,30.0,90.0,90.0,30.0,90.0,0,5,5,222,21,4,0,4.86,4.9,4.48,4.9,4.95,4.86,4.9,5,0,5,0,0.2
