,id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5282,29705382,20230329041210,125602838,48,2,6,19.389357,-99.151398,4,2.0,2.0,3.0,826.0,28,365,28.0,28.0,365.0,365.0,28.0,365.0,14,44,74,349,4,4,0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,2,2,0,0,0.39
5284,29714469,20230329041210,223594098,99,2,4,19.43825,-99.19062,4,2.0,2.0,2.0,907.0,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0,1,20,50,140,151,32,3,4.4,4.68,4.32,4.82,4.8,4.84,4.4,1,1,0,0,2.82
5286,30020962,20230329041210,166658066,100,3,3,19.42664,-99.15393,1,3.0,1.0,1.0,225.0,7,365,7.0,7.0,365.0,365.0,7.0,365.0,0,0,0,272,0,0,0,4.717753538879194,4.777610344157107,4.746341807223059,4.827132996305658,4.815533249076414,4.832626513052355,4.708673861260999,3,0,3,0,1.7024350397517938
5287,30020970,20230329041210,166658066,100,3,3,19.42872,-99.15481,1,3.0,1.0,1.0,224.0,7,365,7.0,7.0,365.0,365.0,7.0,365.0,0,0,0,241,4,0,0,5.0,5.0,4.67,5.0,5.0,5.0,5.0,3,0,3,0,0.1
5298,30163796,20230329041210,49039924,83,6,6,19.3482,-99.25313,16,5.0,5.0,14.0,3880.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,21,21,21,141,22,1,0,4.77,4.55,4.73,4.86,4.82,4.68,4.64,6,1,1,0,0.42
5300,29737766,20230329041210,20391565,80,1,1,19.41389,-99.1587,3,2.0,1.0,3.0,1463.0,7,180,7.0,7.0,180.0,180.0,7.0,180.0,0,0,0,271,4,2,0,5.0,5.0,5.0,5.0,4.75,5.0,5.0,1,1,0,0,0.08
5305,30039868,20230329041210,207171317,100,2,3,19.40241,-99.25584,6,5.0,3.0,3.0,36214.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,87,0,0,0,4.717753538879194,4.777610344157107,4.746341807223059,4.827132996305658,4.815533249076414,4.832626513052355,4.708673861260999,2,2,0,0,1.7024350397517938
5307,30355571,20230329041210,224418378,100,3,3,19.35741,-99.15595,2,2.0,1.0,1.0,1050.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,43,0,0,0,4.717753538879194,4.777610344157107,4.746341807223059,4.827132996305658,4.815533249076414,4.832626513052355,4.708673861260999,2,2,0,0,1.7024350397517938
5309,30177840,20230329041210,51949485,100,2,2,19.44472,-99.20005,3,2.0,2.0,2.0,782.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,15,64,0,0,4.88,4.95,4.92,4.92,4.88,4.95,4.86,2,2,0,0,1.21
5310,30375457,20230329041210,127196734,96,1,2,19.39646,-99.15067,5,2.0,2.0,4.0,933.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,6,26,56,146,85,22,3,4.91,4.95,4.91,4.99,4.98,4.96,4.92,1,1,0,0,1.64
