,id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
16808,6.70187e+17,20230300000000.0,116361602,100,14.0,14.0,41.893444,3.1977652,8,2.0,4.0,6.0,385.0,7,90,3.0,15.0,30.0,90.0,7.5,60.3,0,30,60,153,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,13,13,0,0,0.5232000277238703
16809,6.63836e+17,20230300000000.0,277060518,100,1.0,2.0,41.85029,3.10617,6,2.0,3.0,6.0,140.0,7,14,7.0,7.0,14.0,14.0,7.0,14.0,0,0,0,0,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.12
16811,6.65762e+17,20230300000000.0,117763930,100,62.0,63.0,41.98510103,2.823588591,4,2.0,2.0,3.0,197.0,1,365,2.0,5.0,365.0,365.0,3.9,365.0,7,11,24,149,6,6,0,4.67,5.0,4.83,5.0,4.67,4.83,4.67,62,62,0,0,0.71
16812,6.75283e+17,20230300000000.0,46725814,100,1.0,1.0,41.78983637,3.044385016,6,3.0,4.0,4.0,390.0,5,30,5.0,5.0,30.0,30.0,5.0,30.0,28,58,88,347,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,1,1,0,0,0.5232000277238703
16824,6.65906e+17,20230300000000.0,270230553,98,760.0,891.0,42.26684,2.27625,8,3.0,5.0,9.0,102.0,1,28,1.0,7.0,2.0,28.0,2.1,23.2,30,60,90,365,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,56,56,0,0,0.5232000277238703
16825,6.75726e+17,20230300000000.0,339670260,100,4.0,4.0,42.2627,3.17553,7,2.0,1.0,6.0,149.0,1,365,1.0,7.0,365.0,365.0,2.4,365.0,26,56,86,179,2,2,0,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4,4,0,0,0.25
16827,6.75726e+17,20230300000000.0,20931089,89,69.0,104.0,42.33907,3.18864,8,3.0,4.0,4.0,436.0,2,365,2.0,7.0,365.0,365.0,3.1,365.0,30,57,87,349,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,68,68,0,0,0.14
16828,6.65977e+17,20230300000000.0,19112142,97,2.0,2.0,42.24684,3.1928929,6,2.0,3.0,6.0,500.0,4,28,4.0,10.0,28.0,28.0,4.4,28.0,13,27,53,281,6,6,0,5.0,4.83,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.72
16830,6.75731e+17,20230300000000.0,229861079,98,28.0,36.0,41.738066,2.8090511,8,2.0,4.0,6.0,141.0,1,365,1.0,7.0,365.0,365.0,3.8,365.0,30,60,86,251,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,25,25,0,0,0.32
16833,6.75764e+17,20230300000000.0,127955218,99,79.0,142.0,41.78111,3.03056,6,2.0,3.0,5.0,230.0,1,365,1.0,7.0,365.0,365.0,5.5,365.0,0,0,0,14,2,2,0,5.0,5.0,5.0,4.5,5.0,4.0,4.0,79,79,0,0,0.24
